no_emissor_padronizado,no_emissor_fitch,no_emissor_moodys,no_emissor_standard_and_poors,no_emissor_austin,no_emissor_liberum,cnpj_emissor
ENKI FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,ENKI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,49939512000107
ENTREVIAS CONCESSIONARIA RODOVIAS,Entrevias Concessionaria de Rodovias S.A.,,,,,
ENVIRONMENTAL ESG PARTICIPACOES,Environmental ESG Participacoes S.A.,,,,,09527023000123
EOLICA SERRA VACAS HOLDING,Eolica Serra das Vacas Holding S.A.,,,,,
EOLICA SERRA VACAS HOLDING II,Eolica Serra das Vacas Holding II S.A.,,,,,
EOS FUNDO INVESTIMENTO DIREITOS CREDITORIOS WH,,,,,EOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS WH,48169685000120
EPR IGUACU,EPR Iguacu S.A.,,,,,58056046000102
EPR LITORAL PIONEIRO,EPR Litoral Pioneiro S.A.,EPR Litoral Pioneiro S.A.,,,,51137031000120
EPR SUL MINAS,EPR Sul de Minas S.A.,,,,,
EQUATORIAL,,,Equatorial S.A.,,,03220438000173
EQUATORIAL ALAGOAS DISTRIBUIDORA ENERGIA,,,Equatorial Alagoas Distribuidora de Energia S.A.,,,12272084000100
EQUATORIAL GOIAS DISTRIBUIDORA ENERGIA,Equatorial Goias Distribuidora de Energia S.A,,Equatorial Goias Distribuidora de Energia S.A.,,,01543032000104
EQUATORIAL MARANHAO DISTRIBUIDORA ENERGIA,,,Equatorial Maranhao Distribuidora de Energia S.A.,,,06272793000184
EQUATORIAL PARA DISTRIBUIDORA ENERGIA,Equatorial Para Distribuidora de Energia S.A.,,Equatorial Para Distribuidora de Energia S.A.,,,04895728000180
EQUATORIAL PIAUI DISTRIBUIDORA ENERGIA,,,Equatorial Piaui Distribuidora de Energia S.A.,,,06840748000189
EQUATORIAL TRANSMISSORA 1 SPE,,,Equatorial Transmissora 1 SPE S.A.,,,26845650000121
EQUATORIAL TRANSMISSORA 2 SPE,,,Equatorial Transmissora 2 SPE S.A.,,,26845497000132
EQUATORIAL TRANSMISSORA 3 SPE,,,Equatorial Transmissora 3 SPE S.A.,,,26845460000295
EQUATORIAL TRANSMISSORA 5 SPE,,,Equatorial Transmissora 5 SPE S.A.,,,26845283000590
EQUATORIAL TRANSMISSORA 8 SPE,,,Equatorial Transmissora 8 SPE S.A.,,,27967244000366
EQUIPAV SANEAMENTO,,,Equipav Saneamento S.A.,,,15385166000140
EQUIPMED FIDC,,,,EQUIPMED FIDC  - SUBORDINADAS MEZANINO,,
ER 2030 FIDC,ER 2030 FIDC,,,,,
ESMERALDA FIDC,,,,,ESMERALDA FIDC,
ESMERALDA FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,ESMERALDA  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
ESPRESSO CREDITOS JUDICIAIS FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,ESPRESSO CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,37022236000139
ESSENTIA PCHS,ESSENTIA PCHs S.A.,,,,,07802794000156
ESTADO ALAGOAS,Estado de Alagoas,,,,,
ESTADO ISRAEL,,,,,ESTADO DE ISRAEL,01832048000129
ESTADO MARANHAO,,Estado do Maranhão,,,,05506465000132
ESTADO MATO GROSSO SUL,Estado de Mato Grosso do Sul,,,,,15412257000128
ESTADO PARANA,,Estado do Paraná,,,,76416940000128
ESTADO PIAUI,,,,ESTADO DO PIAUÍ,,00099686000110
ESTADO SAO PAULO,,,,ESTADO DE SÃO PAULO,,00000714000108
ESTANHO CREDITO CONSIGNADO FIDC,,,,ESTANHO CRÉDITO CONSIGNADO FIDC - SENIORES 1ª SÉRIE,,
ESTIMULO FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,ESTÍMULO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
ESTIMULO FUNDO INVESTIMENTO DIREITOS CREDITORIOS IS RESPONSABILIDADE LIMITADA,,,,,ESTÍMULO BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IS DE RESPONSABILIDADE LIMITADA,42336359000184
ESTRATEGIA EDUCACIONAL FIDC,,,,ESTRATÉGIA EDUCACIONAL FIDC - MEZANINO CLASSE A,,
ETB,ETB - Empresa de Transmissao Baiana SA,,,,,
ETR FIDC,,,,ETR FIDC - SUBORDINADAS MEZANINO,,
EUD FICTOR CONSIGNADO FIDC,,,,EUD FICTOR CONSIGNADO FIDC - SUBORDINADAS JÚNIOR,,
EURO FIDC,,,,EURO FIDC - SENIORES 1ª SÉRIE,,
EUROFARMA LABORATORIOS,Eurofarma Laboratorios S.A.,,,,,61190096000192
EVEN CONSTRUTORA INCORPORADORA,,,Even Construtora e Incorporadora S.A.,,,43470988000165
EVOLUT FIDC MULTISSETORIAL,,,,EVOLUT FIDC MULTISSETORIAL - SENIORES 4ª SÉRIE,,
EVOLVE FIDC NP,,,,EVOLVE FIDC NP - SUBORDINADAS JÚNIOR,,
EXES AGRO XINGU,,,,EXES AGRO XINGU - SUBORDINADAS,,
EXES MAQUINAS FIDC,,,,EXES MÁQUINAS FIDC - MEZANINO CLASSE A,,
EXES SPECIAL FIDC,,,,EXES SPECIAL FIDC - ÚNICA,,
EXTRA BALANCE TOP SIERRA FIDC,,,,EXTRA BALANCE TOP SIERRA FIDC - SENIORES ÚNICA,,
FACTA FINANCEIRA,,,,,FACTA FINANCEIRA S.A.,15581638000130
FACTA INSS CB FIDC,Facta INSS CB FIDC,,,,,35946113000169
FAMA FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,FAMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,19503125000162
FARM M I FIC FIDC,,,,FARM M I FIC FIDC - ÚNICA,,
FARMACIA DROGARIA NISSEI,Farmacia e Drogaria Nissei S.A.,,,,,79430682000122
FARO ENERGY PROJETOS SOLARES HOLDING IV,Faro Energy Projetos Solares Holding IV S.A.,,,,,
FATOR SEGURADORA,,Fator Seguradora S.A.,,,,33061862000183
FATOR UCB FIDC,,,,FATOR UCB FIDC - SENIORES 1ª SÉRIE,,
FATORI FIDC,,,,FATORI FIDC - SUBORDINADAS JÚNIOR,,
FATORI FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,FATORI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,26690344000163
FEDERAL IAA FIDC NP,,,,FEDERAL IAA FIDC NP - ÚNICA,,
FEDERAL INVEST CO FIDC,,,,FEDERAL INVEST CO FIDC - SUBORDINADAS JÚNIOR,,02647408000185
FEDERAL INVEST FIDC,,,,FEDERAL INVEST FIDC - SUBORDINADAS MEZANINO IV,,02647408000185
FEDERAL INVEST I FIC FIDC,,,,FEDERAL INVEST I FIC FIDC - MEZANINO CLASSE B,,02647408000185
FERRARI AGROINDUSTRIA,,,Ferrari Agroindustria S.A.,,,54846951000105
FERREIRA GOMES ENERGIA,Ferreira Gomes Energia S.A.,,,,,12489315000123
FERROVIA NORTE SUL,Ferrovia Norte Sul S.A.,,,,,09257877000137
FG NOW FIDC,,,,FG NOW FIDC - SUBORDINADAS JÚNIOR,,
FGR FIDC,,,,FGR FIDC - SENIORES ÚNICA,,
FIC FIDC BIZCAPITAL I,,,,FIC FIDC BIZCAPITAL I - SUBORDINADAS JÚNIOR,,
FIC FIDC BRAZIL PLUS,,,,FIC FIDC BRAZIL PLUS  - SUBORDINADAS MEZANINO,,
FIC FIDC EMPIRICA NOVERDE,,,,FIC FIDC EMPÍRICA NOVERDE - SUBORDINADAS,,
FIC FIDC EXODUS INSTITUCIONAL,,,,FIC FIDC EXODUS INSTITUCIONAL - MEZANINO CLASSE B,,
FIC FIDC MULTIPLIX,,,,FIC FIDC MULTIPLIX - SUBORDINADAS JÚNIOR,,
FIC FIDC NP JIVE PRECATORIOS,,,,FIC FIDC NP JIVE PRECATÓRIOS - SENIORES ÚNICA,,
FIC FIDC PACIFICO,,,,FIC FIDC PACÍFICO - SENIORES ÚNICA,,
FIC FIDC RNX FEEDER,,,,FIC FIDC RNX FEEDER - SUBORDINADAS,,
FIC FIDC SRM,,,,FIC FIDC SRM   - SENIORES 3ª SÉRIE,,
FIC FIDC SUL MEZANINO,,,,FIC FIDC SUL BRASIL MEZANINO - SENIORES 4ª SÉRIE,,
FIC FIDC TERCON MULTICREDITO,,,,FIC FIDC TERCON MULTICRÉDITO - SENIORES ÚNICA,,
FIC FIDC VIA MULTICREDITO,,,,FIC FIDC VIA MULTICRÉDITO - SUBORDINADAS JÚNIOR,,
FICTOR CONSIGNADO II FIDC,,,,FICTOR CONSIGNADO II FIDC - SUBORDINADAS JÚNIOR,,
FICTOR FIC FIDC,,,,FICTOR FIC FIDC - SUBORDINADAS MEZANINO,,
FICTOR INVEST FIDC,,,,FICTOR INVEST FIDC - SUBORDINADAS MEZANINO,,12536691000121
FIDC,,,,OS FIDC  - SENIORES 1ª SÉRIE,,00822299000160
FIDC 3R AGRO PRODUTORES AGRICOLAS I,,,,FIDC 3R AGRO PRODUTORES AGRÍCOLAS I - SENIORES 1ª SÉRIE,,
FIDC ABERTO CAIXA RPPS CC CONSIGNADO BMG INSS,,,,FIDC ABERTO CAIXA RPPS CC CONSIGNADO BMG INSS - SENIORES ÚNICA,,
FIDC ABERTO MIT,,,,FIDC ABERTO MIT - SUBORDINADAS,,
FIDC ACR FAST,,,,FIDC ACR FAST - SENIORES ÚNICA,,
FIDC ACR I,,,,FIDC ACR I - SENIORES ÚNICA,,
FIDC ACR II,,,,FIDC ACR II - SUBORDINADAS,,
FIDC ACTUS 1,,,,FIDC ACTUS 1 - ÚNICA,,
FIDC ALBAUGH,,,,FIDC ALBAUGH - SENIORES 4ª SÉRIE,,
FIDC ALION CONSIGNADOS,,,,FIDC ALION CONSIGNADOS - SUBORDINADAS JÚNIOR,,
FIDC ALION II CONSIGNADOS,,,,FIDC ALION II CONSIGNADOS - SUBORDINADAS JÚNIOR,,
FIDC ALION III CONSIGNADOS,,,,FIDC ALION III CONSIGNADOS - MEZANINO CLASSE A,,
FIDC ANGA CREDITAS CONSIGNADO PRIVADO,,,,FIDC ANGÁ CREDITAS CONSIGNADO PRIVADO - SUBORDINADAS PREFERENCIAIS,,
FIDC ANGA FACTA CONSIGNADOS INSS I,,,,FIDC ANGÁ FACTA CONSIGNADOS INSS I - SUBORDINADAS ORDINÁRIAS,,
FIDC ANGA FGTS,,,,FIDC ANGÁ FGTS - SUBORDINADAS JÚNIOR,,
FIDC ANGA LEASING 2921,,,,FIDC ANGÁ LEASING 2921 - SENIORES 1ª SÉRIE,,
FIDC ANGA MULTI CONSIGNADOS I,,,,FIDC ANGÁ MULTI CONSIGNADOS I - SUBORDINADAS,,
FIDC ANGA MULTIESTRATEGIA I,,,,FIDC ANGÁ MULTIESTRATÉGIA I - SUBORDINADAS,,
FIDC ANGA MULTIESTRATEGIA II,,,,FIDC ANGÁ MULTIESTRATÉGIA II - SUBORDINADAS,,
FIDC ANGA SABEMI CONSIGNADOS IX,,,,FIDC ANGÁ SABEMI CONSIGNADOS IX - SUBORDINADAS ORDINÁRIAS,,
FIDC ANGA SABEMI CONSIGNADOS XI,,,,FIDC ANGÁ SABEMI CONSIGNADOS XI  - SUBORDINADAS ORDINÁRIAS,,
FIDC ANGA SABEMI X,,,,FIDC ANGÁ SABEMI X - SUBORDINADAS ORDINÁRIAS,,
FIDC ARTESANAL MP MICROFINANCAS,,,,FIDC ARTESANAL MP MICROFINANÇAS - SUBORDINADAS JÚNIOR,,
FIDC AUTO,,,,FIDC AUTO-HONDA - SENIORES ÚNICA,,
FIDC BANCO EMISSORES CARTAO CREDITO V,,,,FIDC BANCO EMISSORES DE CARTÃO DE CRÉDITO V - SUBORDINADAS,,
FIDC BANCOS EMISSORES CARTAO CREDITO V,,,,FIDC BANCOS EMISSORES DE CARTÃO DE CRÉDITO V - SUBORDINADAS,,
FIDC BANDEIRANTES,,,,FIDC BANDEIRANTES - SENIORES ÚNICA,,
FIDC BB VOTORANTIM HIGHLAND INFRAESTRUTURA RL,FIDC BB Votorantim Highland Infraestrutura RL,,,,,
FIDC BEEF TECH,,,,FIDC BEEF TECH - SUBORDINADAS JÚNIOR,,
FIDC BNP PARIBAS CAFAM INFRAESTRUTURA I,,,,FIDC BNP PARIBAS CAFAM INFRAESTRUTURA I - SENIORES ÚNICA,,
FIDC BPD CONSIGNADO,,,,,FIDC BPD CONSIGNADO,
FIDC BRASILFACTORS CREDITO CORPORATIVO,,,,,FIDC Brasilfactors Crédito Corporativo,
FIDC BRZ CAPITAL CONSIG I,,,,FIDC BRZ CAPITAL CONSIG I  - SUBORDINADAS JÚNIOR,,
FIDC BRZ CIASPREV II,,,,FIDC BRZ CIASPREV II - SUBORDINADAS JÚNIOR,,
FIDC BUNGE,,,,FIDC BUNGE BRASIL  - SENIORES 1ª SÉRIE,,
FIDC CADEIAS AGROINDUSTRIAIS,,,,FIDC CADEIAS AGROINDUSTRIAIS– FIAGRO ÂNIMA COCARI - SENIORES 1ª SÉRIE,,
FIDC CAP,,,,FIDC CAP - SUBORDINADAS PREFERENCIAIS,,
FIDC CAPITAL BR,,,,FIDC CAPITAL BR  - SENIORES 1ª SÉRIE,,
FIDC CAR10,,,,FIDC CAR10  - SENIORES ÚNICA,,
FIDC CEEE VII,,,,FIDC CEEE VII-D - SENIORES 2ª SÉRIE,,
FIDC CENTERCOB,,,,FIDC CENTERCOB - SENIORES ÚNICA,,
FIDC CERES CONFINA,,,,FIDC CERES CONFINA - MEZANINO CLASSE B,,
FIDC CIELO,FIDC Cielo,,,,,26286939000158
FIDC CLOUDWALK PI,,FIDC Cloudwalk Pi,,,,44124617000194
FIDC COLUMBIA,,,,FIDC COLUMBIA - SUBORDINADAS MEZANINO,,
FIDC CONSIG PREMIUM I,FIDC Consig Premium I - Responsabilidade Limitada,,,,,
FIDC CONSIG PREMIUM II,FIDC Consig Premium II - Responsabilidade Limitada,,,,,
FIDC CONSIGNADOS FEDERAIS,,,,FIDC CONSIGNADOS FEDERAIS - SUBORDINADAS ORDINÁRIAS,,
FIDC CONSORCIEI I,,,,FIDC CONSORCIEI I  - SUBORDINADAS,,
FIDC CORBAN,,,,FIDC CORBAN - ÚNICA,,
FIDC CREDIBLUE,,,,FIDC CREDIBLUE-GENIAL - SENIORES 1ª SÉRIE,,
FIDC CREDITAS AUTO VEICULOS,,,FIDC Creditas Auto Veiculos,,,59.673.010/0001-30
FIDC CREDITAS TEMPUS,,,,FIDC CREDITAS TEMPUS - ÚNICA,,
FIDC DANIELE,,,,FIDC DANIELE - SENIORES 4ª SÉRIE,,
FIDC DOM PEDRO I,,,,FIDC DOM PEDRO I - SENIORES 2ª SÉRIE,,
FIDC EMPIRICA FUTURO PREVIDENCIA CONSIGNADO PUBLICO,,,,FIDC EMPÍRICA FUTURO PREVIDÊNCIA CONSIGNADO PÚBLICO - SUBORDINADAS JÚNIOR,,
FIDC EMPIRICA GOAL ONE,,,,FIDC EMPÍRICA GOAL ONE - SUBORDINADAS JÚNIOR,,
FIDC EMPIRICA HOME EQUITY,,,,,FIDC Empírica Home Equity,
FIDC EMPIRICA NOVERDE,,,,FIDC EMPÍRICA NOVERDE - ÚNICA,,
FIDC ESPIRITO SANTO,,,,FIDC ESPÍRITO SANTO - SUBORDINADAS JÚNIOR,,
FIDC EVEREST CONSIGNADO FEDERAL,,,,FIDC EVEREST CONSIGNADO FEDERAL - SUBORDINADAS MEZANINO,,
FIDC EXODUS INSTITUCIONAL,,,,FIDC EXODUS INSTITUCIONAL - MEZANINO CLASSE C,,
FIDC FACTA CONSIGNADO INSS,,,,,FIDC FACTA CONSIGNADO INSS,
FIDC FCT CONSIGNADO II,,,,FIDC FCT CONSIGNADO II - SUBORDINADAS JÚNIOR,,
FIDC FENIX,,,,FIDC FÊNIX - SUBORDINADAS MEZANINO,,
FIDC FICTOR,,,,FIDC FICTOR - SENIORES 1ª SÉRIE,,
FIDC FORNECEDORES MADEIRAMADEIRA I,,,,FIDC FORNECEDORES MADEIRAMADEIRA I - SENIORES 1ª SÉRIE,,
FIDC FREI 19,,,,FIDC FREI 19  - SUBORDINADAS,,
FIDC GALLERIA,,,,FIDC GALLERIA - MEZANINO CLASSE B,,
FIDC GO KENERSON,,,,FIDC GO KENERSON - SUBORDINADAS JÚNIOR,,
FIDC GUARDIAN INSS FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,FIDC Guardian INSS Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,,,,53211671000168
FIDC IC SOMAPAY,,,,FIDC IC SOMAPAY - SUBORDINADAS MEZANINO,,
FIDC INCLUSAO FINANCEIRA,,,,FIDC INCLUSÃO FINANCEIRA - MEZANINO CLASSE E,,
FIDC INCLUSAO FINANCEIRA PLUS,,,,FIDC INCLUSÃO FINANCEIRA PLUS - SENIORES ÚNICA,,
FIDC INDUSTRIA EXODUS INSTITUCIONAL,,,,FIDC DA INDÚSTRIA EXODUS INSTITUCIONAL - SENIORES ÚNICA,,
FIDC INFRA,,,,FIDC INFRA BRASIL  - SUBORDINADAS JÚNIOR,,
FIDC INVEST,,,,FIDC INVEST - SUBORDINADAS JÚNIOR,,
FIDC INVEST DUNAS,,,,FIDC INVEST DUNAS - SUBORDINADAS JÚNIOR,,
FIDC IOSAN,,,,"FIDC IOSAN - 6ª, 7ª E 8ª  - SENIORES 6ª SÉRIE",,
FIDC IV ENERGISA CENTRO OESTE,FIDC IV Energisa Centro Oeste,,,,,
FIDC JUVO,,,,FIDC JUVO - SUBORDINADAS MEZANINO,,
FIDC KIJANI,,,,FIDC KIJANI - SENIORES ÚNICA,,
FIDC KIWIFY,,FIDC Kiwify,,,,52.271.464/0001-36
FIDC LECCA CCP I,,,,FIDC LECCA CCP I - SUBORDINADAS MEZANINO I,,
FIDC LESTE FICTOR CONSIGNADO,,,,FIDC LESTE FICTOR CONSIGNADO - SUBORDINADAS JÚNIOR,,
FIDC MEDICI I,FIDC Medici I,,,,,62393829000159
FIDC MONEY PLUS,,,,FIDC MONEY PLUS  - SUBORDINADAS JÚNIOR,,
FIDC MOTO,,,,FIDC MOTO-HONDA - SENIORES ÚNICA,,
FIDC MULTIAGRO,,,,FIDC MULTIAGRO - SENIORES ÚNICA,,
FIDC MULTIPLIX,,,,FIDC MULTIPLIX - SUBORDINADAS JÚNIOR,,
FIDC MULTIPLO NP,,,,FIDC MÚLTIPLO NP - ÚNICA,,
FIDC MULTISETORIAL ITALIA,,,,FIDC MULTISETORIAL ITÁLIA  - SENIORES ÚNICA,,
FIDC MULTISETORIAL SM LP,,,,FIDC MULTISETORIAL SM LP - SENIORES 3ª SÉRIE,,
FIDC NP ALTERNATIVO I,,,,FIDC NP ALTERNATIVO I - SUBORDINADAS,,
FIDC NP ANGA ALTERNATIVO I,,,,FIDC NP ANGÁ ALTERNATIVO I - SUBORDINADAS,,
FIDC NP ATIVOS JUDICIAIS I,,,,FIDC NP ATIVOS JUDICIAIS I - SUBORDINADAS JÚNIOR,,
FIDC NP CONSORCIOS,,,,FIDC NP CONSÓRCIOS  - SUBORDINADAS,,
FIDC NP EXODUS INSTITUCIONAL,,,,FIDC NP EXODUS INSTITUCIONAL - MEZANINO CLASSE B,,
FIDC NP MULTISSETORIAL R G LP,,,,FIDC NP MULTISSETORIAL R&G LP - SENIORES 2ª SÉRIE,,
FIDC NP NPL I,,,,FIDC NP NPL BRASIL I  - ÚNICA,,
FIDC NP PEARL,,,,FIDC NP PEARL - SENIORES 2ª SÉRIE,,
FIDC NP PJUS II,,,,FIDC NP PJUS II  - SENIORES ÚNICA,,
FIDC NP PRECATORIOS SELECIONADOS I,,,,FIDC NP PRECATÓRIOS SELECIONADOS I - SENIORES ÚNICA,,
FIDC NP TRATEX II,,,,FIDC NP TRATEX II - ÚNICA,,
FIDC NP TRATEX III,,,,FIDC NP TRATEX III - ÚNICA,,
FIDC NP TRYBE,,,,FIDC NP TRYBE  - SENIORES 2ª SÉRIE,,
FIDC NP UNP,,,,FIDC NP UNP - SUBORDINADAS,,
FIDC OPEA AGRO SUMITOMO CHEMICAL,FIDC Opea Agro Sumitomo Chemical,,,,,43866348000179
FIDC PAGSEGURO I,,,,FIDC PAGSEGURO I  - SENIORES 2ª SÉRIE,,
FIDC PAGUEVELOZ,,,,FIDC PAGUEVELOZ - SENIORES ÚNICA,,
FIDC PAULISTA INVEST,,,,FIDC PAULISTA INVEST - SENIORES 2ª SÉRIE,,
FIDC PEAK INVEST,,,,FIDC PEAK INVEST - SENIORES 1ª SÉRIE,,
FIDC PICPAY FGTS,,FIDC PicPay FGTS,,,,58148845000109
FIDC PLUGIFY TECH I,,,,FIDC PLUGIFY TECH I - SUBORDINADAS JÚNIOR,,
FIDC POLIGONO BLUE,,,,FIDC POLÍGONO BLUE - SUBORDINADAS JÚNIOR,,
FIDC PRATA DIGITAL,,,,FIDC PRATA DIGITAL - SUBORDINADAS JÚNIOR,,
FIDC PREMIUM,,,,FIDC PREMIUM  - SENIORES ÚNICA,,
FIDC PROSPECTA,,,,FIDC PROSPECTA - SUBORDINADAS JÚNIOR,,
FIDC PROVI ISA,,,,FIDC PROVI ISA - ÚNICA,,
FIDC QUASAR CB,,,,FIDC QUASAR CB - SUBORDINADAS JÚNIOR,,
FIDC QUASAR DUCOCO,,,,FIDC QUASAR DUCOCO - SUBORDINADAS JÚNIOR,,
FIDC RESPONSABILIDADE LIMITADA FGTS MT II,,,,FIDC DE  RESPONSABILIDADE LIMITADA FGTS MT II - SENIORES 1ª SÉRIE,,
FIDC ROTAM,,,,FIDC ROTAM - MEZANINO CLASSE B,,
FIDC SAGRES,,,,FIDC SAGRES - ÚNICA,,
FIDC SANTANDER AUTO LOANS II SEGMENTO FINANCEIRO,FIDC Santander Auto Loans II Segmento Financeiro - Responsabilidade Limitada,,,,,
FIDC SIGA ENERGIA,,,,FIDC SIGA ENERGIA - SENIORES 8ª SÉRIE,,
FIDC SIGA ENERGIA 3a,,,,"FIDC SIGA ENERGIA 3ª, 4ª, 5ª, 6ª - SENIORES 3ª SÉRIE",,
FIDC SINAI CONSIG,,,,FIDC SINAI CONSIG - SUBORDINADAS MEZANINO,,
FIDC SP RECEBIVEIS PREMIUM I,,,,FIDC SP RECEBÍVEIS PREMIUM I  - SENIORES ÚNICA,,
FIDC STELLANTIS FINANCIAMENTOS MOBILITY I,,FIDC Stellantis Financiamentos Mobility I – Responsabilidade Limitada,,,,61351481000174
FIDC SUPERSIM,,,,FIDC SUPERSIM - MEZANINO CLASSE C,,
FIDC TAMANDARE,,,,FIDC TAMANDARÉ - SUBORDINADAS MEZANINO II,,
FIDC TERA PERFORMANCE,,,,FIDC TERA PERFORMANCE  - SUBORDINADAS JÚNIOR,,
FIDC TG REAL,,,,FIDC TG REAL - SUBORDINADAS JÚNIOR,,
FIDC TILES,,,,FIDC TILES - SENIORES ÚNICA,,
FIDC TMX FINANCE,,,,FIDC TMX FINANCE - SUBORDINADAS JÚNIOR,,
FIDC TORONTO,,,,FIDC TORONTO  - SUBORDINADAS MEZANINO,,
FIDC TRACAO FINANCEIRA,,,,FIDC TRAÇÃO FINANCEIRA - SUBORDINADAS JÚNIOR,,
FIDC TRAMONTINA I,FIDC Tramontina I,,,,,
FIDC UME I,,,,FIDC UME I - MEZANINO CLASSE B,,
FIDC UTILITY CREDIT,,,,FIDC UTILITY CREDIT - SUBORDINADAS JÚNIOR,,
FIDC VALECRED,,,,FIDC VALECRED - SENIORES 5ª SÉRIE,,
FIDC VALER,,,,FIDC VALER - SUBORDINADAS MEZANINO,,
FIDC VCK CONSIGNADOS,,,,FIDC VCK CONSIGNADOS - SUBORDINADAS MEZANINO,,
FIDC VCK II CONSIGNADOS,,,,FIDC VCK II CONSIGNADOS - SUBORDINADAS JÚNIOR,,
FIDC VELAR,,,,FIDC VELAR - SUBORDINADAS JÚNIOR,,
FIDC VIAINVEST,,,,FIDC VIAINVEST - SUBORDINADAS JÚNIOR,,
FIDC VITA AUTO,,,,FIDC VITA AUTO - SENIORES ÚNICA,,
FIDC XP CREDITO MIDDLE,,,,FIDC XP CRÉDITO MIDDLE - SUBORDINADAS JÚNIOR,,
FIDES SECURITIZADORA,,,,FIDES SECURITIZADORA,,
FIGTREE EDUCACIONAL FIDC,,,,FIGTREE EDUCACIONAL FIDC - SUBORDINADAS,,
FINANCA FIDC NP,,,,FINANÇA FIDC NP - SUBORDINADAS JÚNIOR,,
FINANCIA FIDC,,,,FINANCIA FIDC - SUBORDINADAS JÚNIOR,,
FINARTE FIDC,,,,FINARTE FIDC - ÚNICA,,
FINTRUST FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,FINTRUST FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
FINTRUST FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,FINTRUST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,
FIRMA FIDC,,,,FIRMA FIDC - SUBORDINADAS JÚNIOR,,
FISIA COMERCIO PRODUTOS ESPORTIVOS,Fisia Comercio de Produtos Esportivos S.A.,,,,,59546515000134
FLEURY,,Fleury S.A.,,,,60840055000131
FLOWINVEST FIC FIDC,,,,FLOWINVEST FIC FIDC  - ÚNICA,,
FLOWINVEST FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,Flowinvest Fundo de Investimento em Direitos Creditórios – Responsabilidade Limitada,,,,20460014000103
FLUXASSET FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,FLUXASSET FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,
FOR,,,,FOR-TE FIDC - SENIORES ÚNICA,,
FOR CDI FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,FOR CDI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,
FORCE CAPITAL FIDC,,,,FORCE CAPITAL FIDC - SUBORDINADAS JÚNIOR,,
FORTBRASIL SECURITIZADORA,Fortbrasil Securitizadora S.A.,,,,,18678502000131
FORTESEC,,,,FORTESEC - ENCONTRO DAS ÁGUAS (RMEX) (SÉRIES SENIORES I E II (301ª E 303ª SÉRIES) - 1ª EMISSÃO),,
FORTITUDINE FIC FIDC NP,,,,FORTITUDINE FIC FIDC NP - SENIORES 1ª SÉRIE,,
FORZA FIDC NP,,,,FORZA FIDC NP  - SENIORES ÚNICA,,
FOUR CREDIT FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,FOUR CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
FOUR EVEN FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,FOUR EVEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,
FOZ RIO CLARO ENERGIA,Foz do Rio Claro Energia S.A.,,,,,07823262000103
FRADINHO N FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,FRADINHO N FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,
FRANKLIN TEMPLETON,,Franklin Templeton Brasil Ltda,,,,07437241000141
FRIGOL,,Frigol S.A.,,,,68067446000681
FRISIA COOPERATIVA AGROINDUSTRIAL,,Frisia Cooperativa Agroindustrial,,,,76107770000108
