no_emissor_padronizado,no_emissor_fitch,no_emissor_moodys,no_emissor_standard_and_poors,no_emissor_austin,no_emissor_liberum,cnpj_emissor
BANCO BNP PARIBAS,Banco BNP Paribas Brasil S.A.,,,,,01522368000182
BANCO BOCOM BBM,Banco BOCOM BBM S.A.,Banco BOCOM BBM S.A.,,,,15114366000169
BANCO BRADESCO,Banco Bradesco S.A.,Banco Bradesco S.A.,Banco Bradesco S.A.,BANCO BRADESCO,,60746948000112
BANCO BRASILEIRO CREDITO,Banco Brasileiro de Credito S.A,Banco Brasileiro de Credito S.A.,,,,01852137000137
BANCO BS2,,Banco BS2 S.A.,,,,71027866000134
BANCO BTG PACTUAL,Banco BTG Pactual S.A.,Banco BTG Pactual S.A.,Banco BTG Pactual S.A.,,,30306294000145
BANCO C6,Banco C6 S.A.,,Banco C6 S.A.,,,31872495000172
BANCO C6 CONSIGNADO,Banco C6 Consignado S.A.,,Banco C6 Consignado S.A.,,,61348538000186
BANCO C6 TRAVESSIA,,Banco C6 e Travessia - 16ª Debenture Estruturada (INSS),,,,40.226.186/0001-16
BANCO CAIXA GERAL,,Banco Caixa Geral - Brasil S.A.,,,,33466988000138
BANCO CHINA,,Banco da China Brasil S.A.,,,,10690848000143
BANCO CITIBANK,Banco Citibank S.A.,,,,,33479023000180
BANCO CNH INDUSTRIAL CAPITAL,Banco CNH Industrial Capital S.A.,,,,,02992446000175
BANCO COOPERATIVO SICOOB,Banco Cooperativo Sicoob S.A. - Banco Sicoob,Banco Cooperativo Sicoob S.A.,,,,02038232000164
BANCO COOPERATIVO SICREDI,Banco Cooperativo Sicredi S.A.,Banco Cooperativo Sicredi S.A.,Banco Cooperativo Sicredi S.A.,,,01181521000155
BANCO CREDIT AGRICOLE,Banco Credit Agricole Brasil S.A.,,,,,75647891000171
BANCO CSF,,,Banco CSF S.A.,,,08357240000150
BANCO DAYCOVAL,Banco Daycoval S.A.,Banco Daycoval S.A.,Banco Daycoval S.A.,,,62232889000190
BANCO DESENVOLVIMENTO ESPIRITO SANTO,Banco de Desenvolvimento do Espirito Santo S.A.,,,,,28145829000100
BANCO DESENVOLVIMENTO MINAS GERAIS,,Banco de Desenvolvimento de Minas Gerais S.A.,Banco de Desenvolvimento de Minas Gerais S.A. - BDMG,,,17232422000195
BANCO DIGIMAIS,Banco Digimais S.A.,,,,,92874270000140
