emissor,cnpj,razao_rfb,razao_cvm,status,obs
EQUATORIAL TRANSMISSORA 1 SPE,26845650000121,BARREIRAS TRANSMISSORA DE ENERGIA S.A.,,⚠️,match parcial (substring palavra: TRANSMISSORA/TRANSMISSORA) (RFB)
BELEM TRANSMISSORA ENERGIA,26845702000160,BELEM TRANSMISSORA DE ENERGIA S.A.,,✅,match exato (RFB)
AGUA VERMELHA TRANSMISSORA ENERGIA,26855869000101,AGUA VERMELHA TRANSMISSORA DE ENERGIA S.A,,✅,match exato (RFB)
MILLS LOCACAO,27093558000115,"MILLS LOCACAO, SERVICOS E LOGISTICA S.A.",,✅,match exato (RFB)
MILLS LOCACAO SERVICOS LOGISTICA,27093558000115,"MILLS LOCACAO, SERVICOS E LOGISTICA S.A.",,⚠️,match parcial (substring) (RFB)
NAVI CAPITAL,27133825000130,NAVI CAPITAL - ADMINISTRADORA E GESTORA DE RECURSOS FINANCEIROS LTDA,,✅,match exato (RFB)
AGUAS TERESINA SANEAMENTO SPE,27157474000106,AGUAS DE TERESINA SANEAMENTO SPE S.A.,,✅,match exato (RFB)
PIRAPORA II SOLAR HOLDING,27219024000192,PIRAPORA II SOLAR HOLDING S.A.,,✅,match exato (RFB)
PORTOCEM GERACAO ENERGIA,27241084000101,PORTOCEM GERACAO DE ENERGIA S.A,,✅,match exato (RFB)
VPORTS AUTORIDADE PORTUARIA,27316538000166,VPORTS AUTORIDADE PORTUARIA S.A.,,✅,match exato (RFB)
SPIC ENERGIA PARTICIPACOES,27317702000150,SPIC BRASIL ENERGIA PARTICIPACOES S.A.,,✅,match exato (RFB)
UHE SAO SIMAO ENERGIA,27352303000120,UHE SAO SIMAO ENERGIA S.A.,,✅,match exato (RFB)
BRASILPREV SEGUROS PREVIDENCIA,27665207000131,BRASILPREV SEGUROS E PREVIDENCIA S/A,,✅,match exato (RFB)
JANUARIO NAPOLI GERACAO ENERGIA,27816584000124,JANUARIO DE NAPOLI GERACAO DE ENERGIA S/A,,✅,match exato (RFB)
GLOBO COMUNICACAO PARTICIPACOES,27865757000102,GLOBO COMUNICACAO E PARTICIPACOES S/A,,✅,match exato (RFB)
HIGHLINE II INFRAESTRUTURA TELECOMUNICACOES,27902165000296,HIGHLINE DO BRASIL II INFRAESTRUTURA DE TELECOMUNICACOES S.A.,,✅,match exato (RFB)
OCCAM GESTAO RECURSOS,27916161000186,OCCAM BRASIL GESTAO DE RECURSOS LTDA.,,✅,match exato (RFB)
SHARP CAPITAL GESTORA RECURSOS,27957477000116,SHARP CAPITAL GESTORA DE RECURSOS LTDA,,✅,match exato (RFB)
EQUATORIAL TRANSMISSORA 8 SPE,27967244000366,TAPAJOS TRANSMISSORA DE ENERGIA SA,,⚠️,match parcial (substring palavra: TRANSMISSORA/TRANSMISSORA) (RFB)
BANCO ESTADO ESPIRITO SANTO,28127603000178,BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,,⚠️,match parcial (substring leniente) (RFB)
BANESTES,28127603000178,BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,,⚠️,match parcial (substring leniente) (RFB)
THOPEN ENERGIA,28133664000148,THOPEN ENERGIA S.A.,,✅,match exato (RFB)
BANCO DESENVOLVIMENTO ESPIRITO SANTO,28145829000100,BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S/A,,✅,match exato (RFB)
EDP ESPIRITO SANTO DISTRIBUICAO ENERGIA,28152650000171,EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.,,✅,match exato (RFB)
BANESTES DISTRIBUIDORA TITULOS VALORES MOBILIARIOS,28156057000101,BANESTES DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,,✅,match exato (RFB)
ENERGISA TRANSMISSAO ENERGIA,28201130000101,ENERGISA TRANSMISSAO DE ENERGIA S.A.,,✅,match exato (RFB)
QUANTUM PARTICIPACOES,28367479000118,QUANTUM PARTICIPACOES S.A.,,✅,match exato (RFB)
EKTT09 SERVICOS TRANSMISSAO ENERGIA ELETRICA SPE,28438777000402,NEOENERGIA ALTO PARANAIBA TRANSMISSAO DE ENERGIA ELETRICA S.A.,,⚠️,match parcial (3/6 palavras) (RFB)
NEOENERGIA MORRO CHAPEU TRANSMISSAO ENERGIA,28438834000100,NEOENERGIA MORRO DO CHAPEU TRANSMISSAO E ENERGIA S.A.,,✅,match exato (RFB)
BANCO PACCAR,28517628000188,BANCO PACCAR S.A.,,✅,match exato (RFB)
MUNICIPALITY OF NITEROI,28521748000159,MUNICIPIO DE NITEROI,,⚠️,match parcial (substring leniente) (RFB)
NITEROI,28521748000159,MUNICIPIO DE NITEROI,,✅,match exato (leniente) (RFB)
AUREN ENERGIA,28594234000123,AUREN ENERGIA S.A.,,✅,match exato (RFB)
TRIGONO CAPITAL,28925400000127,TRIGONO CAPITAL LTDA.,,✅,match exato (RFB)
SCOTIABANK BANCO MULTIPLO,29030467000166,SCOTIABANK BRASIL S.A. BANCO MULTIPLO,,✅,match exato (RFB)
MORI ENERGIA HOLDING,29183782000123,MORI ENERGIA HOLDING S.A,,✅,match exato (RFB)
INVESTCRED FUNDO INVESTIMENTO DIREITOS CREDITORIOS,29226654000110,INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,,✅,match exato (RFB)
PATRIA CREDITO ESTRUTURADO FIDC,29292271000140,PATRIA CREDITO ESTRUTURADO FEEDER TEAM FUNDO DE INVESTIMENTO EM COTAS DE FIDC RESP LIMITADA,,⚠️,match parcial (substring leniente) (RFB)
INPASA AGROINDUSTRIAL,29316596000115,INPASA AGROINDUSTRIAL S/A,,✅,match exato (RFB)
NU ASSET MANAGEMENT,29349426000137,NU ASSET MANAGEMENT LTDA.,,✅,match exato (RFB)
SERRA IBIAPABA TRANSMISSORA ENERGIA,29554549000100,SERRA DE IBIAPABA TRANSMISSORA DE ENERGIA S A,,✅,match exato (RFB)
SPE TRANSMISSORA ENERGIA LINHA VERDE I,29568539000123,SPE TRANSMISSORA DE ENERGIA LINHA VERDE I S/A,,✅,match exato (RFB)
LD CELULOSE,29627430000110,LD  CELULOSE S.A.,,✅,match exato (RFB)
BTG PACTUAL ASSET MANAGEMENT DTVM,29650082000100,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,,✅,match exato (leniente) (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS FORTBRASIL,29665263000100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS COMERCIAIS DE RESPONSABILIDADE LIMITADA FORTBRASIL,,✅,match exato (leniente) (RFB)
FUNDO INVESTIMENTOS DIREITOS CREDITORIOS COMERCIAIS RESPONSABILIDADE LIMITADA FORTBRASIL,29665263000100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS COMERCIAIS DE RESPONSABILIDADE LIMITADA FORTBRASIL,,⚠️,match parcial (substring leniente) (RFB)
SAO CARLOS EMPREENDIMENTOS PARTICIPACOES,29780061000109,SAO CARLOS EMPREENDIMENTOS E PARTICIPACOES S.A,,✅,match exato (RFB)
ECORIOMINAS CONCESSIONARIA RODOVIAS,29884545000190,ECORIOMINAS CONCESSIONARIA DE RODOVIAS S.A.,,✅,match exato (RFB)
CONCESSIONARIA LINHAS 5 17 METRO SAO PAULO,29938085000135,CONCESSIONARIA DAS LINHAS 5 E 17 DO METRO DE SAO PAULO S.A.,,✅,match exato (RFB)
OCEANICA ENGENHARIA CONSULTORIA,29980141000108,OCEANICA ENGENHARIA E CONSULTORIA S.A.,,✅,match exato (RFB)
VIA INVEST II FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,30035329000159,VIA INVEST II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
BANCO BTG PACTUAL,30306294000145,BANCO BTG PACTUAL S.A.,,✅,match exato (RFB)
VILA PIAUI 2 EMPREENDIMENTOS PARTICIPACOES,30311116000102,VILA PIAUI 2 EMPREENDIMENTOS E PARTICIPACOES S.A.,,✅,match exato (RFB)
SERRA MEL HOLDING,30342595000124,SERRA DO MEL HOLDING S.A.,,✅,match exato (RFB)
AUTOMOTIVO FIDC,30590978000111,AUTOMOTIVO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,,✅,match exato (leniente) (RFB)
NU FINANCEIRA,30680829000143,"NU FINANCEIRA S.A. - SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",,✅,match exato (RFB)
BANCO MODAL,30723886000162,BANCO MODAL S.A.,,✅,match exato (RFB)
NOVA SECURITISATION R.L.,30769187000153,NOVA SECURITIZADORA S.A.,,⚠️,match parcial (substring leniente) (RFB)
BB GESTAO RECURSOS,30822936000169,BB GESTAO DE RECURSOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,,✅,match exato (RFB)
BB GESTAO RECURSOS DTVM,30822936000169,BB GESTAO DE RECURSOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,,✅,match exato (leniente) (RFB)
OPY HEALTHCARE GESTAO ATIVOS INVESTIMENTOS,30914898000174,OPY HEALTHCARE GESTAO DE ATIVOS E INVESTIMENTOS S.A,,✅,match exato (RFB)
MC BRAZIL DOWNSTREAM TRADING R.L.,30.950.576/0001-80,MC BRAZIL DOWNSTREAM PARTICIPACOES S.A.,,⚠️,match parcial (substring leniente) (RFB)
ATHON GERACAO DISTRIBUIDA,30997588000837,ATHON GERACAO DISTRIBUIDA S/A,,✅,match exato (RFB)
CELEO REDES TRANSMISSAO ENERGIA,31001230000107,CELEO REDES TRANSMISSAO DE ENERGIA S.A,,✅,match exato (RFB)
SOLARIS TRANSMISSAO ENERGIA,31095322000195,SOLARIS TRANSMISSAO DE ENERGIA S.A.,,✅,match exato (RFB)
MARITUBA TRANSMISSAO ENERGIA,31096307000161,MARITUBA TRANSMISSAO DE ENERGIA S.A.,,✅,match exato (RFB)
BORBOREMA TRANSMISSAO ENERGIA,31109417000110,BORBOREMA TRANSMISSAO DE ENERGIA S.A.,,✅,match exato (RFB)
MEZ 4 ENERGIA,31231479000109,MEZ 4 ENERGIA S.A.,,✅,match exato (RFB)
MEZ 3 ENERGIA,31231893000100,MEZ 3 ENERGIA S.A.,,✅,match exato (RFB)
GS INIMA INDUSTRIAL,31406860000153,GS INIMA INDUSTRIAL S.A.,,✅,match exato (RFB)
CASA PEDRA SECURITIZADORA CREDITO,31468139000198,CASA DE PEDRA SECURITIZADORA DE CREDITO S.A.,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS TRADEPAY VAREJO I,31570767000180,FUNDO DE  INVESTIMENTO EM DIREITOS CREDITORIOS TRADEPAY VAREJO I - RESPONSABILIDADE  LIMITADA,,✅,match exato (RFB)
TRAVELEX BANCO CAMBIO,31602179000180,TRAVELEX ASSESSORIA EM CAMBIO E SERVICOS AUXILIARES LTDA,,⚠️,match parcial (2/3 palavras) (RFB)
ATHENA SAUDE,31701408000114,ATHENA SAUDE BRASIL SA,,✅,match exato (RFB)
RIBEIRO GONCALVES ENERGIA SOLAR,31711512000190,RIBEIRO GONCALVES ENERGIA SOLAR S.A.,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS LF III,31739396000117,LF III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
VERO,31748174000160,VERO S.A.,,✅,match exato (RFB)
COOPERATIVA CREDITO COOPERMAIS,31804966000105,COOPERATIVA DE CREDITO COOPERMAIS - SICOOB COOPERMAIS,,✅,match exato (RFB)
SPE CONCESSIONARIA AEROPORTO ILHEUS,31840260000107,SPE CONCESSIONARIA DO AEROPORTO DE ILHEUS S/A,,✅,match exato (RFB)
VINLAND CAPITAL MANAGEMENT CREDITO PRIVADO GESTORA RECURSOS,31846872000107,VINLAND CAPITAL MANAGEMENT CREDITO PRIVADO GESTORA DE RECURSOS LTDA.,,✅,match exato (RFB)
BANCO C6,31872495000172,BANCO C6 S.A.,,✅,match exato (RFB)
BANCO GUANABARA,31880826000116,BANCO GUANABARA S/A,,✅,match exato (RFB)
BANCO INDUSTRIAL,31895683000116,BANCO INDUSTRIAL DO BRASIL S/A,,✅,match exato (RFB)
SOLFACIL,31931053000150,SOLFACIL ENERGIA SOLAR TECNOLOGIA E SERVICOS FINANCEIROS LTDA,,⚠️,match parcial (substring leniente) (RFB)
ORIGEM ENERGIA,32021201000161,ORIGEM ENERGIA S.A,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS FINANCEIROS RESPONSABILIDADE LIMITADA DMCARD,32101535000145,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA DMCARD,,✅,match exato (RFB)
CONCESSIONARIA RODOVIAS INTEGRADAS SUL,32161500000100,CONCESSIONARIA DAS RODOVIAS INTEGRADAS DO SUL S.A.,,✅,match exato (RFB)
PAMPA TRANSMISSAO ENERGIA,32184487000104,PAMPA TRANSMISSAO DE ENERGIA S.A.,,✅,match exato (RFB)
SUL AMERICA INVESTIMENTOS DTVM,32206435000183,SUL AMERICA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,,✅,match exato (leniente) (RFB)
KYKLOS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,32400342000195,KYKLOS N FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE  LIMITADA,,⚠️,match parcial (substring leniente) (RFB)
QI SOCIEDADE CREDITO DIRETO,32402502000135,QI SOCIEDADE DE CREDITO DIRETO S.A.,,✅,match exato (RFB)
COOPERATIVA CENTRAL CREDITO ESPIRITO SANTO,32428294000143,COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO,,✅,match exato (RFB)
COOPERATIVA CREDITO CONEXAO,32430233000110,COOPERATIVA DE CREDITO CONEXAO - SICOOB CONEXAO,,✅,match exato (RFB)
HELIO VALGAS SOLAR PARTICIPACOES,32431519000110,HELIO VALGAS SOLAR PARTICIPACOES S.A.,,✅,match exato (RFB)
COOPERATIVA CREDITO SUL ESPIRITO SANTO,32467086000153,COOPERATIVA DE CREDITO SUL DO ESPIRITO SANTO - SICOOB SUL,,✅,match exato (RFB)
COOPERATIVA CREDITO SUL,32474884000102,COOPERATIVA DE CREDITO SUL-LITORANEA DO ESPIRITO SANTO - SICOOB SUL-LITORANEO,,✅,match exato (RFB)
VIX LOGISTICA,32681371000172,VIX LOGISTICA S/A,,✅,match exato (RFB)
RB CAPITAL CREDIT ALPHA STRATEGY I FUNDO INVESTIMENTOS DIREITOS CREDITORIOS,32.724.252/0001-50,RB CAPITAL CREDIT ALPHA STRATEGY I FIDC - RESPONSABILIDADE LIMITADA,,⚠️,match parcial (substring leniente) (RFB)
BTG PACTUAL SEGUROS,32724962000180,BTG PACTUAL SEGUROS S.A.,,✅,match exato (RFB)
PETROLEO BRASILEIRO,33000167000101,PETROLEO BRASILEIRO S A PETROBRAS,,⚠️,match parcial (substring leniente) (RFB)
COMPANHIA SIDERURGICA NACIONAL,33042730000104,COMPANHIA SIDERURGICA NACIONAL,,✅,match exato (RFB)
AMPLA ENERGIA SERVICOS,33050071000158,AMPLA ENERGIA E SERVICOS S.A.,,✅,match exato (RFB)
COMPANHIA PAULISTA FORCA LUZ,33050196000188,COMPANHIA PAULISTA DE FORCA E LUZ,,✅,match exato (RFB)
FATOR SEGURADORA,33061862000183,FATOR SEGURADORA S.A.,,✅,match exato (RFB)
VALID SOLUCOES,33113309000147,VALID SOLUCOES S A,,✅,match exato (RFB)
TOKIO MARINE SEGURADORA,33164021000100,TOKIO MARINE SEGURADORA S.A.,,✅,match exato (RFB)
BANCO J.P. MORGAN,33172537000198,BANCO J. P. MORGAN S.A.,,⚠️,match parcial (2/3 palavras) (RFB)
ULTRAPAR PARTICIPACOES,33256439000139,ULTRAPAR PARTICIPACOES S/A,,✅,match exato (RFB)
BANCO XP,33264668000103,BANCO XP S.A,,✅,match exato (RFB)
IPIRANGA PRODUTOS PETROLEO,33337122000127,IPIRANGA PRODUTOS DE PETROLEO S.A.,,✅,match exato (RFB)
YINSON BORONIA PRODUCTION B.V.,33367206000103,YINSON BORONIA PRODUCTION B.V.,,✅,match exato (RFB)
IRB,33376989000191,IRB-BRASIL RESSEGUROS S.A.,,✅,match exato (RFB)
RAIZEN,33453598000123,RAIZEN S.A.,,✅,match exato (RFB)
BANCO CAIXA GERAL,33466988000138,BANCO CAIXA GERAL - BRASIL S.A.,,✅,match exato (RFB)
BANCO CITIBANK,33479023000180,BANCO CITIBANK S A,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS BRZ CAPITAL CONSIG I,33512746000133,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS BRZ CAPITAL CONSIG I RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
AXIA ENERGIA NORDESTE,33541368000116,AXIA ENERGIA NORDESTE S.A.,,✅,match exato (RFB)
ELETROBRAS CHESF,33541368000116,AXIA ENERGIA NORDESTE S.A.,,⚠️,match parcial (renome: ELETROBRAS CHESF->AXIA ENERGIA NORDESTE) (RFB)
RUMO MALHA CENTRAL,33572408000197,RUMO MALHA CENTRAL S.A.,,✅,match exato (RFB)
VALE,33592510000154,VALE S.A.,,✅,match exato (RFB)
BANCO RODOBENS,33603457000140,BANCO RODOBENS S.A.,,✅,match exato (RFB)
GERDAU,33611500000119,GERDAU S.A.,,✅,match exato (RFB)
BANCO FATOR,33644196000106,BANCO FATOR S/A,,✅,match exato (RFB)
BANCO NACIONAL DESENVOLVIMENTO ECONOMICO SOCIAL,33657248000189,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL,,✅,match exato (RFB)
VIVARA PARTICIPACOES,33839910000111,VIVARA PARTICIPACOES S.A.,,✅,match exato (RFB)
BANCO HSBC,33852567000145,BANCO HSBC S.A.,,✅,match exato (RFB)
BANCO MASTER,33923798000100,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,,✅,match exato (RFB)
UNIPAR CARBOCLORO,33958695000178,UNIPAR CARBOCLORO S.A.,,✅,match exato (RFB)
BANCO INVESTIMENTOS UBS,33987793000133,BANCO DE INVESTIMENTOS UBS (BRASIL) S.A.,,✅,match exato (RFB)
FUNDACAO PETROBRAS SEGURIDADE SOCIAL,34053942000150,FUNDACAO PETROBRAS DE SEGURIDADE SOCIAL PETROS,,⚠️,match parcial (substring leniente) (RFB)
HAITONG BANCO INVESTIMENTO,34111187000112,HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS ALION CONSIGNADOS,34218960000144,CONSTELACAO LXIII FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,,⚠️,match parcial (4/6 palavras) (RFB)
VIBRA ENERGIA,34274233000102,VIBRA ENERGIA S.A,,✅,match exato (RFB)
GDPAR SN PARTICIPACOES PROJETOS SOLARES,34366520003079,GDPAR SN PARTICIPACOES EM PROJETOS SOLARES S/A,,✅,match exato (RFB)
V2I ENERGIA,34395916000100,V2I ENERGIA S.A.,,✅,match exato (RFB)
CREDITO UNIVERSITARIO III FIDC,34408539000104,CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
COMPANHIA GAS BAHIA,34432153000120,COMPANHIA DE GAS DA BAHIA BAHIAGAS,,⚠️,match parcial (substring leniente) (RFB)
WINITY,34622881000102,WINITY S.A.,,✅,match exato (RFB)
AES TUCANO HOLDING II,34623550000189,TUCANO HOLDING II S.A.,,⚠️,match parcial (substring leniente) (RFB)
TUCANO HOLDING II,34623550000189,TUCANO HOLDING II S.A.,,✅,match exato (RFB)
GDPAR SR PARTICIPACOES PROJETOS SOLARES,34731244000166,GDPAR SR PARTICIPACOES EM PROJETOS SOLARES S.A.,,✅,match exato (RFB)
NAVI YIELD ADMINISTRADORA GESTORA RECURSOS FINANCEIROS,34745508000130,NAVI YIELD ADMINISTRADORA E GESTORA DE RECURSOS FINANCEIROS LTDA.,,✅,match exato (RFB)
TRSP,34840096000118,TRSP - TERMINAL DE REGASEIFICACAO DE GNL DE SAO PAULO S.A,,✅,match exato (RFB)
MONTE RODOVIAS NORDESTE I HOLDING PARTICIPACOES,35109618000179,MONTE RODOVIAS NORDESTE I HOLDING PARTICIPACOES SA,,✅,match exato (RFB)
OURO PRETO SERVICOS SANEAMENTO,35198517000111,OURO PRETO SERVICOS DE SANEAMENTO S.A - SANEOURO,,✅,match exato (RFB)
RZK SOLAR 02,35235917000150,THOPEN SOLAR 02 SPE S.A.,,⚠️,match parcial (2/3 palavras) (RFB)
CSCF CARTOES CONSIGNADOS II 2022,35522178000187,COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS CARTOES CONSIGNADOS II,,⚠️,match parcial (3/4 palavras) (RFB)
CSCF CARTOES CONSIGNADOS II 2023,35.522.178/0001-87,COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS CARTOES CONSIGNADOS II,,⚠️,match parcial (3/4 palavras) (RFB)
CSCF CARTOES CONSIGNADOS II 2025,35.522.178/0001-87,COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS CARTOES CONSIGNADOS II,,⚠️,match parcial (3/4 palavras) (RFB)
CONCESSIONARIA ECOVIAS CERRADO,35593905000105,CONCESSIONARIA ECOVIAS DO CERRADO S.A.,,✅,match exato (RFB)
LINS AGROINDUSTRIAL,35637796000172,LINS AGROINDUSTRIAL S.A.,,✅,match exato (RFB)
AUTOMOB PARTICIPACOES,35654688000108,AUTOMOB PARTICIPACOES S.A,,✅,match exato (RFB)
TUCANO HOLDING III,35714529000151,TUCANO HOLDINGS III S.A.,,⚠️,match parcial (sem sufixo) (RFB)
TECNOLOGIA PARTICIPACOES,35764708000101,BRASIL TECNOLOGIA E PARTICIPACOES S.A,,✅,match exato (RFB)
INSPIRALI EDUCACAO,35822503000127,INSPIRALI EDUCACAO S/A,,✅,match exato (RFB)
GUARA NORTE R.L.,35856223000130,GUARA NORTE S.A.R.L.,,✅,match exato (RFB)
VENTOS SAO JOAO XXIII ENERGIAS RENOVAVEIS,35865638000170,VENTOS DE SAO JOAO XXIII ENERGIAS RENOVAVEIS S.A.,,✅,match exato (RFB)
VENTOS SAO LUCIO I ENERGIAS RENOVAVEIS,35865649000150,VENTOS DE SAO LUCIO I ENERGIAS RENOVAVEIS S.A.,,✅,match exato (RFB)
ANGELINA COLOMBO PARTICIPACOES,35881121000174,ANGELINA COLOMBO PARTICIPACOES SA,,✅,match exato (RFB)
FACTA INSS CB FIDC,35946113000169,FIDC FINANCEIROS FACTA CONSIGNADO INSS DE RESPONSABILIDADE LIMITADA,,⚠️,match parcial (3/4 palavras) (RFB)
INSS CONSIGNADO I FIDC,35946113000169,FIDC FINANCEIROS FACTA CONSIGNADO INSS DE RESPONSABILIDADE LIMITADA,,⚠️,match parcial (2/2 palavras) (RFB)
ELEA DIGITAL INFRAESTRUTURA REDES TELECOMUNICACOES,35980592000130,ELEA DIGITAL INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.,,✅,match exato (RFB)
ENGIE SOLUCOES CIDADES INTELIGENTES INFRAESTRUTURA UBERLANDIA,36030967000163,ENGIE SOLUCOES CIDADES INTELIGENTES E INFRAESTRUTURA DE UBERLANDIA S.A.,,✅,match exato (RFB)
DMCARD SECURITIZADORA,36238874000129,DM SECURITIZADORA S.A.,,⚠️,match parcial (substring leniente) (RFB)
QISTA,36583700000101,"QISTA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",,✅,match exato (RFB)
FIBRASIL INFRAESTRUTURA FIBRA OTICA,36619747000170,FIBRASIL INFRAESTRUTURA E FIBRA OTICA S.A.,,✅,match exato (RFB)
NORTE ASSET MANAGEMENT GESTAO RECURSOS,36633625000138,NORTE ASSET MANAGEMENT GESTAO DE RECURSOS S.A.,,✅,match exato (RFB)
YINSON BERGENIA PRODUCTION B.V,36790380000152,YINSON BERGENIA PRODUCTION B.V.,,✅,match exato (leniente) (RFB)
COOPERATIVA CREDITO MEDICOS,36900256000100,"COOPERATIVA DE CREDITO DOS MEDICOS, PROFISSIONAIS DA SAUDE E EMPRESARIOS",,✅,match exato (RFB)
VENTOS SANTA TEREZA 07 ENERGIAS RENOVAVEIS,37020274000152,VENTOS DE SANTA TEREZA 07 ENERGIAS RENOVAVEIS S.A.,,✅,match exato (RFB)
IP SUL CONCESSIONARIA ILUMINACAO PUBLICA,37070559000106,IP SUL CONCESSIONARIA DE ILUMINACAO PUBLICA S.A.,,✅,match exato (RFB)
RIZA SECURITIZACAO CARTEIRAS GESTORA RECURSOS,37556621000166,RIZA SECURITIZACAO E CARTEIRAS GESTORA DE RECURSOS LTDA,,✅,match exato (RFB)
NAVI REAL ESTATE SELECTION,37658373000164,NAVI REAL ESTATE SELECTION - ADMINISTRADORA E GESTORA DE RECURSOS FINANCEIROS LTDA.,,✅,match exato (RFB)
AUREN PARTICIPACOES,37663076000107,AUREN PARTICIPACOES S.A.,,✅,match exato (RFB)
MERCADO CREDITO SOCIEDADE CREDITO,37679449000138,"MERCADO CREDITO SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",,✅,match exato (RFB)
XP ALLOCATION ASSET MANAGEMENT,37918829000188,XP ALLOCATION ASSET MANAGEMENT LTDA,,✅,match exato (RFB)
MONGERAL AEGON RENDA VARIAVEL,37995213000100,MONGERAL AEGON RENDA VARIAVEL LTDA.,,✅,match exato (RFB)
TRAVESSIA SECURITIZADORA CREDITOS FINANCEIROS,38042694000100,TRAVESSIA SECURITIZADORA DE CREDITOS FINANCEIROS S.A.,,✅,match exato (RFB)
ATHON GERACAO DISTRIBUIDA II,38213667000226,ATHON GERACAO DISTRIBUIDA II S.A.,,✅,match exato (RFB)
DELFINANCE SOCIEDADE CREDITO DIRETO,38224857000168,DELFINANCE SOCIEDADE DE CREDITO DIRETO S.A.,,✅,match exato (RFB)
ASSURUA 4 5 HOLDING ENERGIA,38286323000166,ASSURUA 4 E 5 HOLDING ENERGIA S.A.,,✅,match exato (RFB)
FIDC TRAMONTINA I,39375599000183,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS TRAMONTINA I,,✅,match exato (leniente) (RFB)
AGUAS IMPERATRIZ,39523638000142,AGUAS DA IMPERATRIZ S A,,✅,match exato (RFB)
BRK AMBIENTAL REGIAO METROPOLITANA MACEIO,39580673000101,BRK AMBIENTAL - REGIAO METROPOLITANA DE MACEIO S.A.,,✅,match exato (leniente) (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS SOMACRED BACH,39669950000149,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SOMACRED BACH - RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
COMPANHIA ESTADUAL GERACAO ENERGIA ELETRICA,39881421000104,COMPANHIA ESTADUAL DE GERACAO DE ENERGIA ELETRICA - CEEE-G,,✅,match exato (RFB)
SPE CONCESSIONARIA VOE XAP,39984031000160,SPE CONCESSIONARIA VOE XAP S.A.,,✅,match exato (RFB)
RZK SOLAR 07,40062073000122,THOPEN SOLAR 07 S.A.,,⚠️,match parcial (2/3 palavras) (RFB)
THOPEN SOLAR 07,40062073000122,THOPEN SOLAR 07 S.A.,,✅,match exato (RFB)
