emissor,cnpj,razao_rfb,razao_cvm,status,obs
FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA FLAGSHIP BTO RECEIVABLES,60405221000171,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA FLAGSHIP BTO RECEIVABLES,,✅,match exato (RFB)
LIGHT SERVICOS ELETRICIDADE,60444437000146,LIGHT SERVICOS DE ELETRICIDADE S A,,✅,match exato (RFB)
BANCO MUFG,60498557000126,BANCO MUFG BRASIL S.A.,,✅,match exato (RFB)
BANCO SUMITOMO MITSUI BRASILEIRO,60518222000122,BANCO SUMITOMO MITSUI BRASILEIRO S A,,✅,match exato (RFB)
MULTILOG,60526977000179,MULTILOG BRASIL S.A.,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS AGIBANK I RESPONSABILIDADE LIMITADA,60528786000146,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS AGIBANK I RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
IGUATEMI,60543816000193,IGUATEMI S.A.,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS BV AUTO II SEGMENTO FINANCEIRO,60598366000136,FIDC BV AUTO II SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
ACHE LABORATORIOS FARMACEUTICOS,60659463000191,ACHE LABORATORIOS FARMACEUTICOS SA,,✅,match exato (RFB)
UNIAO QUIMICA FARMACEUTICA NACIONAL,60665981000118,UNIAO QUIMICA FARMACEUTICA NACIONAL S A,,✅,match exato (RFB)
ITAU UNIBANCO,60701190000104,ITAU UNIBANCO S.A.,,✅,match exato (RFB)
BANCO BRADESCO,60746948000112,BANCO BRADESCO S.A.,,✅,match exato (RFB)
SOCIEDADE BENEFICENTE ISRAELITA BRASILEIRA,60765823000130,SOCIEDADE BENEF ISRAELITABRAS HOSPITAL ALBERT EINSTEIN,,⚠️,match parcial (substring palavra: SOCIEDADE/SOCIEDADE) (RFB)
SOCIEDADE BENEFICENTE ISRAELITA BRASILEIRA HOSPITAL ALBERT EINSTEIN,60765823000130,SOCIEDADE BENEF ISRAELITABRAS HOSPITAL ALBERT EINSTEIN,,⚠️,match parcial (2/3 palavras) (RFB)
BANCO MERCEDES,60814191000157,BANCO MERCEDES-BENZ DO BRASIL S/A,,✅,match exato (RFB)
FLEURY,60840055000131,FLEURY S.A.,,✅,match exato (RFB)
OMNI BANCO,60850229000147,OMNI BANCO S.A.,,✅,match exato (RFB)
ACUCAREIRA QUATA,60855574000173,ACUCAREIRA QUATA S/A,,✅,match exato (RFB)
COBUCCIO I FUNDO INVESTIMENTO DIREITOS CREDITORIOS,60871114000139,COBUCCIO I FIDC - SEGMENTO MEIOS DE PAGAMENTO RESPONSABILIDADE LIMITADA.,,✅,match exato (leniente) (RFB)
MINERVA FIDC II,60.871.638/0001-20,MINERVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS II - CREDITO MERCANTIL RESP LIMITADA,,✅,match exato (leniente) (RFB)
ITAU UNIBANCO HOLDING,60872504000123,ITAU UNIBANCO HOLDING S.A.,,✅,match exato (RFB)
IMPAR SERVICOS HOSPITALARES,60884855000154,IMPAR SERVICOS HOSPITALARES S/A,,✅,match exato (RFB)
BANCO SOFISA,60889128000180,BANCO SOFISA S.A.,,✅,match exato (RFB)
CESP,60933603000178,CESP - COMPANHIA ENERGETICA DE SAO PAULO,,✅,match exato (RFB)
CARTAO COMPRA SUPPLIER FUNDO INVESTIMENTO DIREITOS CREDITORIOS III,60942242000126,CARTAO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS III - RESPONSABILIDADE LTDA,,✅,match exato (RFB)
