dt_captura,agencia,no_emissor_padronizado,no_emissor_original,no_tipo_rating,de_rating_br,de_outlook,dt_acao_rating,link
2026-09-20,Moody's,SANEAMENTO GOIAS,Saneamento De Goiás S.A. - Saneago,Rating Corporativo,AAA.br,Perspectiva estável,2026-06-19,
2026-09-20,Moody's,SANTA MARIA ADMINISTRACAO PARTICIPACAO,Santa Maria Administração e Participação S.A.,Rating Corporativo,A.br,Perspectiva estável,2026-07-20,
2026-09-20,Moody's,SIMPAR,Simpar S.A.,Rating Corporativo,AA+.br,Perspectiva estável,2026-09-01,
2026-09-20,Moody's,SOCIEDADE BENEFICENTE ISRAELITA BRASILEIRA HOSPITAL ALBERT EINSTEIN,Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein,Rating de Emissor,AAA.br,Perspectiva estável,2026-07-20,
2026-09-20,Moody's,SOFTPLAN,Softplan S.A.,Rating de Emissor,A.br,Perspectiva estável,2025-11-05,
2026-09-20,Moody's,SOLAR BEBIDAS,Solar Bebidas S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-07-02,
2026-09-20,Moody's,SOROCABA REFRESCOS,Sorocaba Refrescos S.A.,Rating de Emissor,AA-.br,Perspectiva estável,2026-07-24,
2026-09-20,Moody's,STATE GRID BRAZIL HOLDING,State Grid Brazil Holding S.A.,Rating Corporativo,AAA.br,Perspectiva estável,2026-07-02,
2026-09-20,Moody's,SUZANO,Suzano S.A.,Rating Corporativo,AAA.br,Perspectiva estável,2026-01-30,
2026-09-20,Moody's,SAO CARLOS EMPREENDIMENTOS PARTICIPACOES,São Carlos Empreendimentos e Participações S.A.,Rating Corporativo,A+.br,Perspectiva estável,2025-11-11,
2026-09-20,Moody's,TELEFONICA,Telefônica Brasil S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-04-30,
2026-09-20,Moody's,THOPEN ENERGIA,Thopen Energia S.A. (sucessora da RZK Energia S.A.),Rating de Emissor,CC.br,Perspectiva negativa,2026-09-04,
2026-09-20,Moody's,TOP SERVICE SERVICOS SISTEMAS,Top Service Serviços e Sistemas S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-06-18,
2026-09-20,Moody's,TRANSMISSORA ALIANCA ENERGIA ELETRICA,Transmissora Aliança de Energia Elétrica S.A. (TAESA),Rating Corporativo,AAA.br,Perspectiva estável,2026-09-11,
2026-09-20,Moody's,TRANSPORTADORA ASSOCIADA GAS,Transportadora Associada de Gás S.A. - TAG,Rating Corporativo,AAA.br,Perspectiva estável,2026-06-02,
2026-09-20,Moody's,ULTRAPAR PARTICIPACOES,Ultrapar Participações S.A.,Rating Corporativo,AAA.br,Perspectiva estável,2025-10-01,
2026-09-20,Moody's,UNIDAS LOCADORA,Unidas Locadora S.A.,Rating de Emissor,AA+.br,Perspectiva estável,2026-08-04,
2026-09-20,Moody's,UNIDAS LOCACOES SERVICOS,Unidas Locações e Serviços S.A.,Rating de Emissor,AA+.br,Perspectiva estável,2026-08-04,
